ROW_ID,ICD9_CODE,SHORT_TITLE,LONG_TITLE
2816,3502,Atypical face pain,Atypical face pain
8917,71945,Joint pain-pelvis,"Pain in joint, pelvic region and thigh"
6410,6021,Prostatic congest/hemorr,Congestion or hemorrhage of prostate
4173,36801,Strabismic amblyopia,Strabismic amblyopia
5467,4778,Allergic rhinitis NEC,Allergic rhinitis due to other allergen
12308,V561,Ft/adj xtrcorp dial cath,Fitting and adjustment of extracorporeal dialysis catheter
2709,30411,"Sed,hyp,anxiolyt dep-con","Sedative, hypnotic or anxiolytic dependence, continuous"
14246,87412,Open wound trachea-compl,"Open wound of trachea, complicated"
2466,2189,Uterine leiomyoma NOS,"Leiomyoma of uterus, unspecified"
4967,56721,Peritonitis (acute) gen,Peritonitis (acute) generalized
13817,7295,Pain in limb,Pain in limb
4341,41020,"AMI inferolateral,unspec","Acute myocardial infarction of inferolateral wall, episode of care unspecified"
13250,78799,Digestve syst symptm NEC,Other symptoms involving digestive system
5352,45379,Ch emblsm veins NEC,Chronic venous embolism and thrombosis of other specified veins
9662,E0138,Personal hygiene NEC,Other personal hygiene activity
3698,37005,Mycotic corneal ulcer,Mycotic corneal ulcer
8967,78033,Post traumatic seizures,Post traumatic seizures
13526,80703,Fracture three ribs-clos,Closed fracture of three ribs
4985,5692,Rectal & anal stenosis,Stenosis of rectum and anus
1036,7033,Hpt B chrn wo cm w dlta,Chronic viral hepatitis B without mention of hepatic coma with hepatitis delta
4151,36646,Cataract w radiation,Cataract associated with radiation and other physical influences
13785,86354,Sigmoid colon inj-open,"Injury to sigmoid colon, with open wound into cavity"
11573,E8503,Acc poison-salicylates,Accidental poisoning by salicylates
208,1215,TB thorax node-histo dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
3346,29632,Recurr depr psychos-mod,"Major depressive affective disorder, recurrent episode, moderate"
4553,3940,Mitral stenosis,Mitral stenosis
10235,86511,Spleen hematoma-open,"Injury to spleen with open wound into cavity, hematoma without rupture of capsule"
12457,8055,Fx lumbar vertebra-open,Open fracture of lumbar vertebra without mention of spinal cord injury
10607,67451,Peripartum cardiomy-del,"Peripartum cardiomyopathy, delivered, with or without mention of antepartum condition"
11956,V4363,Joint replaced wrist,Wrist joint replacement
9837,E8854,Fall from snowboard,Fall from snowboard
8047,80081,Opn skul vlt fx w/o coma,"Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness"
6193,6080,Seminal vesiculitis,Seminal vesiculitis
5923,5890,Unilateral small kidney,Unilateral small kidney
11648,E9203,Knife/sword/dagger acc,"Accidents caused by knives, swords, and daggers"
1716,20220,Szry dis unsp xtrndl org,"Sezary's disease, unspecified site, extranodal and solid organ sites"
14235,87373,Broken tooth-complicated,"Open wound of tooth (broken) (fractured) (due to trauma), complicated"
11737,E9659,Assault-explosive NOS,Assault by unspecified explosive
3049,3152,Oth learning difficulty,Other specific developmental learning difficulties
2463,2180,Submucous leiomyoma,Submucous leiomyoma of uterus
662,391,Pulmonary actinomycosis,Pulmonary actinomycotic infection
8596,86122,Lung laceration-closed,Laceration of lung without mention of open wound into thorax
14434,V741,Screening-pulmonary TB,Screening examination for pulmonary tuberculosis
3115,32719,Organic hypersomnia NEC,Other organic hypersomnia
11110,9213,Contusion of eyeball,Contusion of eyeball
5081,43830,Late ef-mplga up lmb NOS,"Late effects of cerebrovascular disease, monoplegia of upper limb affecting unspecified side"
14236,87374,Open wound tongue-compl,"Open wound of tongue and floor of mouth, complicated"
8211,75619,Anomaly of spine NEC,Other anomalies of spine
12584,E8704,Acc cut/hem w scope exam,"Accidental cut, puncture, perforation or hemorrhage during endoscopic examination"
5468,4779,Allergic rhinitis NOS,"Allergic rhinitis, cause unspecified"
4264,4465,Giant cell arteritis,Giant cell arteritis
5555,55320,Ventral hernia NOS,"Ventral, unspecified, hernia without mention of obstruction or gangrene"
2204,27911,Digeorge's syndrome,Digeorge's syndrome
2301,2537,Iatrogenic pituitary dis,Iatrogenic pituitary disorders
10602,67434,Ob surg comp NEC-postpar,"Other complications of obstetrical surgical wounds, postpartum condition or complication"
12036,V550,Atten to tracheostomy,Attention to tracheostomy
8254,7585,Autosomal anomalies NEC,Other conditions due to autosomal anomalies
10345,81341,Colles' fracture-closed,Closed Colles' fracture
4634,38915,Sensorneur hear loss uni,"Sensorineural hearing loss, unilateral"
5817,5733,Hepatitis NOS,"Hepatitis, unspecified"
5513,48282,Pneumonia e coli,Pneumonia due to escherichia coli [E. coli]
2484,2230,Benign neoplasm kidney,"Benign neoplasm of kidney, except pelvis"
2890,30483,Comb drug dep NEC-remiss,"Combinations of drug dependence excluding opioid type drug, in remission"
3457,34282,Ot sp hmiplg nondmnt sde,Other specified hemiplegia and hemiparesis affecting nondominant side
1241,1578,Malig neo pancreas NEC,Malignant neoplasm of other specified sites of pancreas
3607,3310,Alzheimer's disease,Alzheimer's disease
6443,64793,Infect NOS-antepartum,"Unspecified infection or infestation of mother, antepartum condition or complication"
2461,2169,Benign neoplasm skin NOS,"Benign neoplasm of skin, site unspecified"
13458,E0008,Externl cause status NEC,Other external cause status
14257,8770,Open wound of buttock,"Open wound of buttock, without mention of complication"
5564,5559,Regional enteritis NOS,Regional enteritis of unspecified site
4487,4289,Heart failure NOS,"Heart failure, unspecified"
12069,7213,Lumbosacral spondylosis,Lumbosacral spondylosis without myelopathy
8641,71537,Loc osteoarth NOS-ankle,"Osteoarthrosis, localized, not specified whether primary or secondary, ankle and foot"
12183,V037,Tetanus toxoid inoculat,Need for prophylactic vaccination and inoculation against tetanus toxoid alone
4314,40311,Ben hyp kid w cr kid V,"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage V or end stage renal disease"
6010,5305,Dyskinesia of esophagus,Dyskinesia of esophagus
1203,1515,Mal neo stom lesser curv,"Malignant neoplasm of lesser curvature of stomach, unspecified"
12341,937,Foreign body anus/rectum,Foreign body in anus and rectum
