,icd9_code,diagnoses_short_title,diagnoses_long_title,procedure_short_title,procedure_long_title
0,1289,Helminthiasis NOS,"Helminth infection, unspecified",Scleral operation NEC,Other operations on sclera
1,129,Intestin parasitism NOS,"Intestinal parasitism, unspecified",Rem brain pulse generatr,Removal of cranial neurostimulator pulse generator
2,1300,Toxoplasm meningoenceph,Meningoencephalitis due to toxoplasmosis,Remove FB lens NOS,"Removal of foreign body from lens, not otherwise specified"
3,1301,Toxoplasm conjunctivitis,Conjunctivitis due to toxoplasmosis,Magnet remove FB lens,Removal of foreign body from lens with use of magnet
4,1302,Toxoplasm chorioretinit,Chorioretinitis due to toxoplasmosis,Nonmagnet remove FB lens,Removal of foreign body from lens without use of magnet
5,1319,Trichomoniasis NOS,"Trichomoniasis, unspecified",Intracapsul lens ext NEC,Other intracapsular extraction of lens
6,1341,Arthropod infest NEC,Other arthropod infestation,Catarac phacoemuls/aspir,Phacoemulsification and aspiration of cataract
7,1342,Hirudiniasis,Hirudiniasis,Post catarac frag/aspir,Mechanical phacofragmentation and aspiration of cataract by posterior route
8,1364,Psorospermiasis,Psorospermiasis,After-catar discission,Discission of secondary membrane [after cataract]
9,1365,Sarcosporidiosis,Sarcosporidiosis,After-cataract excision,Excision of secondary membrane [after cataract]
10,1369,Infect/parasite dis NOS,Unspecified infectious and parasitic diseases,Cataract extraction NEC,Other cataract extraction
11,1370,"Late effect tb, resp/NOS",Late effects of respiratory or unspecified tuberculosis,Insert pseudophakos NOS,"Insertion of pseudophakos, not otherwise specified"
12,1371,Late effect cns TB,Late effects of central nervous system tuberculosis,Insert lens at catar ext,"Insertion of intraocular lens prosthesis at time of cataract extraction, one-stage"
13,1372,Late effect gu TB,Late effects of genitourinary tuberculosis,Secondary insert lens,Secondary insertion of intraocular lens prosthesis
14,138,Late effect acute polio,Late effects of acute poliomyelitis,Implanted lens removal,Removal of implanted lens
15,1390,Late eff viral encephal,Late effects of viral encephalitis,Operation on lens NEC,"Operation on lens, not elsewhere classified"
16,1391,Late effect of trachoma,Late effects of trachoma,Impl intraoc telesc pros,Implantation of intraocular telescope prosthesis
17,1400,Mal neo upper vermilion,"Malignant neoplasm of upper lip, vermilion border",Remov post segmnt FB NOS,"Removal of foreign body from posterior segment of eye, not otherwise specified"
18,1401,Mal neo lower vermilion,"Malignant neoplasm of lower lip, vermilion border",Magnet remov post seg FB,Removal of foreign body from posterior segment of eye with use of magnet
19,1411,Mal neo dorsal tongue,Malignant neoplasm of dorsal surface of tongue,Diagnost vitreous aspir,Diagnostic aspiration of vitreous
20,1419,Malig neo tongue NOS,"Malignant neoplasm of tongue, unspecified",Dx proc post seg NEC,"Other diagnostic procedures on retina, choroid, vitreous, and posterior chamber"
21,1421,Malig neo submandibular,Malignant neoplasm of submandibular gland,Chorioret les diathermy,Destruction of chorioretinal lesion by diathermy
22,1422,Malig neo sublingual,Malignant neoplasm of sublingual gland,Chorioretin les cryother,Destruction of chorioretinal lesion by cryotherapy
